function,cumtime,lBits
dwave_qbsolv.dwavesearch,0.78962,75
dwave_qbsolv.qbsolv_binding.run_qbsolv,0.917,75
generate_qubo_numpy_multi_processing,0.119,75
sample,0.923,75
sample_qubo,0.977,75
to_qubo,0.004,75
from_qubo,0.054,75
solve_exact_cover,1.097,75
