function,cumtime,lBits
dwave_qbsolv.dwavesearch,3.21236,1450
dwave_qbsolv.qbsolv_binding.run_qbsolv,6.372,1450
generate_qubo_numpy_multi_processing,9.446,1450
sample,7.206,1450
sample_qubo,15.587,1450
to_qubo,0.826,1450
from_qubo,8.326,1450
solve_exact_cover,25.034,1450
