function,cumtime,lBits
dwave_qbsolv.dwavesearch,0.41216,50
dwave_qbsolv.qbsolv_binding.run_qbsolv,0.476,50
generate_qubo_numpy_multi_processing,0.12,50
sample,0.479,50
sample_qubo,0.493,50
to_qubo,0.002,50
from_qubo,0.013,50
solve_exact_cover,0.613,50
