function,cumtime,lBits
dwave_qbsolv.dwavesearch,4.78044,2050
dwave_qbsolv.qbsolv_binding.run_qbsolv,9.88,2050
generate_qubo_numpy_multi_processing,28.615,2050
sample,11.682,2050
sample_qubo,28.304,2050
to_qubo,1.794,2050
from_qubo,16.511,2050
solve_exact_cover,56.921,2050
