function,cumtime,lBits
dwave_qbsolv.dwavesearch,2.97654,825
dwave_qbsolv.qbsolv_binding.run_qbsolv,4.807,825
generate_qubo_numpy_multi_processing,2.553,825
sample,5.056,825
sample_qubo,8.052,825
to_qubo,0.244,825
from_qubo,2.977,825
solve_exact_cover,10.607,825
