function,cumtime,lBits
dwave_qbsolv.dwavesearch,3.694,1225
dwave_qbsolv.qbsolv_binding.run_qbsolv,6.44,1225
generate_qubo_numpy_multi_processing,6.76,1225
sample,7.038,1225
sample_qubo,13.227,1225
to_qubo,0.592,1225
from_qubo,6.145,1225
solve_exact_cover,19.989,1225
