function,cumtime,lBits
dwave_qbsolv.dwavesearch,10.97429,2825
dwave_qbsolv.qbsolv_binding.run_qbsolv,27.835,2825
generate_qubo_numpy_multi_processing,70.236,2825
sample,31.342,2825
sample_qubo,63.518,2825
to_qubo,3.495,2825
from_qubo,31.94,2825
solve_exact_cover,133.757,2825
