function,cumtime,lBits
dwave_qbsolv.dwavesearch,9.69005,2800
dwave_qbsolv.qbsolv_binding.run_qbsolv,26.375,2800
generate_qubo_numpy_multi_processing,70.092,2800
sample,30.217,2800
sample_qubo,65.549,2800
to_qubo,3.829,2800
from_qubo,35.08,2800
solve_exact_cover,135.643,2800
