function,cumtime,lBits
dwave_qbsolv.dwavesearch,0.8332,350
dwave_qbsolv.qbsolv_binding.run_qbsolv,1.25,350
generate_qubo_numpy_multi_processing,0.394,350
sample,1.308,350
sample_qubo,2.119,350
to_qubo,0.056,350
from_qubo,0.807,350
solve_exact_cover,2.513,350
