function,cumtime,lBits
dwave_qbsolv.dwavesearch,1.86496,525
dwave_qbsolv.qbsolv_binding.run_qbsolv,2.748,525
generate_qubo_numpy_multi_processing,0.918,525
sample,2.85,525
sample_qubo,4.371,525
to_qubo,0.098,525
from_qubo,1.514,525
solve_exact_cover,5.291,525
