function,cumtime,lBits
dwave_qbsolv.dwavesearch,8.03566,3450
dwave_qbsolv.qbsolv_binding.run_qbsolv,25.956,3450
generate_qubo_numpy_multi_processing,129.924,3450
sample,32.177,3450
sample_qubo,87.962,3450
to_qubo,6.205,3450
from_qubo,55.402,3450
solve_exact_cover,217.889,3450
