function,cumtime,lBits
dwave_qbsolv.dwavesearch,1.51307,425
dwave_qbsolv.qbsolv_binding.run_qbsolv,2.288,425
generate_qubo_numpy_multi_processing,0.66,425
sample,2.378,425
sample_qubo,3.679,425
to_qubo,0.088,425
from_qubo,1.295,425
solve_exact_cover,4.34,425
